order_id,order_date,customer_id,product_id,region,quantity,unit_price,discount_percent
1000,2025-07-28,C0008,P015,North,2,79.77,15
1001,2024-05-20,C0120,P035,North,5,307.13,15
1002,2025-07-31,C0390,P004,North,5,457.29,15
1003,2024-10-02,C0295,P044,West,5,81.03,15
1004,2025-03-25,C0367,P019,North,4,235.94,20
1005,2024-04-16,C0077,P050,East,5,81.06,0
1006,2026-02-08,C0104,P046,North,4,213.99,10
1007,2025-10-30,C0398,P030,North,3,155.19,10
1008,2025-04-29,C0484,P016,South,1,207.96,0
1009,2025-08-30,C0183,P009,East,2,126.98,15
1010,2025-03-06,C0061,P008,South,1,360.57,0
1011,2025-10-14,C0325,P050,North,1,124.31,10
1012,2024-12-06,C0066,P040,West,5,429.38,15
1013,2025-05-11,C0016,P041,West,4,340.2,20
1014,2026-02-28,C0119,P025,South,3,105.34,15
1015,2024-11-19,C0169,P011,South,5,159.16,20
1016,2024-07-16,C0176,P023,South,3,419.59,0
1017,2026-02-01,C0066,P034,North,4,264.15,15
1018,2025-01-17,C0419,P019,North,3,344.99,0
1019,2025-10-09,C0109,P006,South,3,117.91,0
1020,2025-06-10,C0200,P036,West,2,414.21,0
1021,2025-06-20,C0016,P013,West,3,470.04,0
1022,2026-01-24,C0357,P008,West,5,439.87,0
1023,2024-05-01,C0215,P042,North,3,221.38,20
1024,2024-06-06,C0147,P020,North,3,457.21,10
1025,2024-09-30,C0401,P008,West,2,299.7,20
1026,2025-06-28,C0097,P011,West,2,335.64,0
1027,2025-07-18,C0057,P024,East,2,93.12,10
1028,2025-08-26,C0384,P034,East,3,317.14,0
1029,2024-11-07,C0184,P033,South,3,297.74,20
1030,2024-12-14,C0457,P048,North,2,427.29,10
1031,2026-01-30,C0380,P009,North,3,85.4,15
1032,2025-03-04,C0223,P032,South,5,250.21,5
1033,2026-02-04,C0397,P050,West,4,455.98,20
1034,2025-05-27,C0283,P003,East,5,397.18,15
1035,2024-09-04,C0305,P024,North,2,362.88,15
1036,2024-09-27,C0155,P010,North,3,330.46,15
1037,2025-08-21,C0347,P021,East,2,336.19,0
1038,2025-09-21,C0275,P004,East,3,307.19,10
1039,2026-03-04,C0178,P006,West,3,290.06,10
1040,2024-10-21,C0014,P001,South,5,153.73,10
1041,2024-08-15,C0306,P024,West,5,233.18,10
1042,2025-04-09,C0332,P005,East,4,236.97,10
1043,2024-10-18,C0064,P025,East,1,432.79,10
1044,2025-06-02,C0036,P018,South,1,168.14,20
1045,2024-12-27,C0403,P047,North,4,105.2,10
1046,2026-02-23,C0491,P031,East,1,438.31,15
1047,2024-05-02,C0363,P016,North,2,86.44,5
1048,2024-04-04,C0308,P015,South,4,317.22,20
1049,2025-05-06,C0035,P049,South,5,461.33,15
1050,2025-07-02,C0386,P020,South,1,274.63,0
1051,2024-08-22,C0275,P004,West,5,210.54,5
1052,2024-09-19,C0129,P014,South,4,471.02,10
1053,2026-03-18,C0118,P014,East,5,447.85,10
1054,2024-10-31,C0001,P019,West,1,416.45,10
1055,2024-10-25,C0276,P045,North,5,145.86,10
1056,2025-01-09,C0002,P041,North,5,344.26,10
1057,2025-03-29,C0237,P009,South,5,316.83,0
1058,2024-10-30,C0445,P047,East,2,99.6,20
1059,2024-10-05,C0483,P020,South,3,263.03,20
1060,2025-05-09,C0029,P018,South,1,316.23,20
1061,2025-06-25,C0323,P035,South,1,364.5,0
1062,2024-08-26,C0458,P011,South,4,438.97,10
1063,2024-11-16,C0066,P007,North,2,172.84,5
1064,2025-06-14,C0453,P023,North,2,191.65,0
1065,2026-01-13,C0315,P033,East,1,80.83,20
1066,2025-07-28,C0488,P049,West,3,164.96,20
1067,2024-04-29,C0444,P047,North,1,147.56,5
1068,2024-10-07,C0214,P016,North,1,239.48,0
1069,2025-03-22,C0370,P011,North,2,67.84,10
1070,2025-03-14,C0465,P002,West,5,344.63,15
1071,2024-10-07,C0264,P038,North,5,58.44,10
1072,2024-10-21,C0113,P028,West,2,247.23,0
1073,2024-09-14,C0423,P018,East,2,96.58,5
1074,2026-03-18,C0473,P043,West,5,428.58,20
1075,2024-09-20,C0390,P038,North,3,169.07,15
1076,2025-09-29,C0395,P021,West,5,283.52,5
1077,2025-01-31,C0017,P033,East,5,264.76,20
1078,2025-08-30,C0090,P047,North,3,236.14,20
1079,2025-11-10,C0442,P004,East,5,97.05,15
1080,2025-12-08,C0137,P019,West,2,326.4,0
1081,2024-10-17,C0243,P032,North,3,265.17,0
1082,2025-06-16,C0449,P033,North,1,106.61,15
1083,2026-02-16,C0161,P007,West,4,134.93,15
1084,2024-07-21,C0140,P017,North,2,279.39,10
1085,2024-06-23,C0335,P049,West,4,354.94,20
1086,2024-07-26,C0232,P019,North,2,411.03,20
1087,2026-03-21,C0173,P026,North,3,315.75,15
1088,2024-05-08,C0307,P007,West,5,270.63,5
1089,2024-09-27,C0063,P045,North,5,233.38,0
1090,2025-12-24,C0068,P049,East,1,434.32,15
1091,2024-08-25,C0308,P013,West,3,364.79,15
1092,2025-08-15,C0030,P010,West,1,306.16,5
1093,2025-07-19,C0112,P028,East,4,296.55,0
1094,2025-08-08,C0368,P010,East,2,262.58,15
1095,2025-04-04,C0164,P038,North,5,340.06,15
1096,2025-11-21,C0275,P014,North,2,84.79,5
1097,2024-05-05,C0349,P049,North,2,438.97,0
1098,2025-05-15,C0329,P032,South,2,115.64,15
1099,2024-04-03,C0296,P021,South,4,125.88,20
1100,2024-05-04,C0191,P033,West,5,96.67,0
1101,2024-04-22,C0204,P012,East,3,143.75,10
1102,2024-09-20,C0418,P011,North,5,366.5,0
1103,2025-03-16,C0146,P048,East,4,468.17,15
1104,2024-11-20,C0477,P009,West,4,223.39,15
1105,2025-07-13,C0479,P011,North,5,292.67,5
1106,2024-11-29,C0247,P024,North,2,110.66,10
1107,2026-01-09,C0194,P013,North,3,486.93,0
1108,2025-09-07,C0191,P015,South,2,313.95,15
1109,2025-06-21,C0208,P021,North,2,360.2,10
1110,2024-09-22,C0287,P031,South,3,246.13,15
1111,2025-08-23,C0154,P023,North,4,233.85,15
1112,2025-08-21,C0225,P015,East,5,112.58,10
1113,2024-11-04,C0364,P039,North,4,401.07,15
1114,2025-02-08,C0038,P036,East,5,401.18,5
1115,2026-02-28,C0187,P001,North,1,399.2,0
1116,2025-06-20,C0260,P044,West,3,340.88,10
1117,2024-04-24,C0137,P023,South,2,160.93,5
1118,2025-11-09,C0052,P015,East,2,273.83,5
1119,2025-06-04,C0413,P017,North,4,76.5,5
1120,2025-11-02,C0450,P043,North,5,467.01,20
1121,2025-03-17,C0175,P035,East,3,498.63,5
1122,2025-04-27,C0386,P046,East,2,92.98,20
1123,2024-09-23,C0176,P001,West,2,137.36,20
1124,2025-12-15,C0488,P047,South,2,241.18,5
1125,2026-02-01,C0137,P026,North,3,142.26,10
1126,2024-08-20,C0308,P016,East,2,233.36,15
1127,2024-10-12,C0490,P031,West,3,89.75,20
1128,2024-07-03,C0401,P043,East,2,94.82,20
1129,2025-01-09,C0477,P044,South,5,217.83,10
1130,2024-12-29,C0119,P012,West,2,421.74,0
1131,2025-09-07,C0382,P007,East,4,412.57,20
1132,2024-11-09,C0021,P006,East,4,303.95,15
1133,2024-07-18,C0055,P038,West,4,191.0,0
1134,2025-08-19,C0347,P039,North,1,194.06,0
1135,2025-03-29,C0438,P016,North,3,159.18,0
1136,2024-05-17,C0183,P008,South,1,279.55,15
1137,2024-09-05,C0041,P047,West,4,94.49,0
1138,2025-11-16,C0491,P001,South,4,268.16,15
1139,2025-08-15,C0111,P049,East,5,487.64,20
1140,2024-10-21,C0257,P024,South,1,248.53,20
1141,2025-07-01,C0396,P034,East,2,171.77,10
1142,2025-07-08,C0271,P015,South,2,126.58,0
1143,2025-09-01,C0144,P024,South,2,464.61,10
1144,2024-05-18,C0296,P010,West,2,78.91,20
1145,2024-06-20,C0294,P034,East,1,123.09,20
1146,2025-06-09,C0027,P036,East,3,307.81,0
1147,2024-05-04,C0320,P017,East,5,167.94,10
1148,2025-04-06,C0409,P026,West,1,275.72,10
1149,2025-10-29,C0291,P046,South,1,290.5,10
1150,2025-10-26,C0239,P043,South,3,267.34,10
1151,2025-06-30,C0014,P009,North,2,213.76,15
1152,2025-06-02,C0430,P004,East,1,195.59,20
1153,2025-07-02,C0332,P017,South,2,293.72,20
1154,2025-06-20,C0246,P030,West,5,201.17,20
1155,2025-02-13,C0079,P030,South,3,465.93,15
1156,2024-10-24,C0286,P026,North,5,264.52,5
1157,2024-05-04,C0327,P018,West,3,158.18,15
1158,2024-09-13,C0192,P028,East,2,217.36,20
1159,2025-10-28,C0395,P005,North,2,391.64,0
1160,2024-10-10,C0124,P021,South,3,489.89,5
1161,2026-01-15,C0406,P006,North,5,172.23,20
1162,2024-12-02,C0036,P006,North,4,454.45,0
1163,2024-07-02,C0400,P024,North,1,451.84,20
1164,2024-08-11,C0012,P007,North,3,172.49,5
1165,2025-08-13,C0354,P028,North,2,156.9,20
1166,2025-11-22,C0415,P050,South,2,472.51,0
1167,2025-06-23,C0465,P045,North,4,307.57,0
1168,2025-09-25,C0102,P035,South,3,78.75,10
1169,2024-05-26,C0447,P021,West,4,159.01,10
1170,2025-02-13,C0186,P023,North,1,203.02,10
1171,2025-06-23,C0346,P035,South,4,156.32,20
1172,2025-01-06,C0120,P040,South,3,410.17,10
1173,2024-12-10,C0280,P028,North,3,234.11,10
1174,2025-11-10,C0035,P010,North,5,121.33,5
1175,2024-08-10,C0299,P033,East,3,488.5,0
1176,2025-11-21,C0459,P038,East,2,360.91,0
1177,2024-06-30,C0466,P012,East,1,189.21,10
1178,2024-10-15,C0179,P008,South,3,436.83,10
1179,2025-02-24,C0088,P046,East,5,293.73,10
1180,2024-12-05,C0235,P002,South,3,182.88,5
1181,2025-01-20,C0384,P015,East,5,463.63,0
1182,2026-01-01,C0177,P037,West,3,409.82,5
1183,2025-07-28,C0163,P030,South,5,179.48,10
1184,2024-12-14,C0003,P045,South,2,238.43,5
1185,2026-01-06,C0215,P024,East,4,492.7,15
1186,2024-05-02,C0299,P034,South,3,372.1,0
1187,2025-11-08,C0337,P011,West,2,316.68,0
1188,2025-01-21,C0052,P021,South,2,137.13,10
1189,2024-10-25,C0226,P040,North,3,488.05,15
1190,2024-12-05,C0168,P002,North,1,357.7,0
1191,2025-10-29,C0482,P003,West,1,51.17,15
1192,2026-01-01,C0238,P018,North,4,378.24,5
1193,2025-09-04,C0076,P014,West,2,350.29,10
1194,2025-04-15,C0070,P047,South,1,70.86,5
1195,2025-10-08,C0187,P012,South,5,472.66,10
1196,2025-04-19,C0479,P032,East,2,86.58,15
1197,2024-06-26,C0350,P042,North,1,223.6,0
1198,2025-03-20,C0264,P033,North,2,470.38,0
1199,2026-01-28,C0158,P009,North,5,116.95,5
1200,2025-04-26,C0277,P035,East,1,377.86,5
1201,2025-12-01,C0345,P038,East,4,275.43,20
1202,2024-07-15,C0234,P016,West,1,417.64,15
1203,2024-06-13,C0163,P009,East,1,396.35,0
1204,2025-10-07,C0277,P049,North,1,440.06,15
1205,2025-07-15,C0169,P042,East,5,143.68,15
1206,2024-11-22,C0150,P007,South,4,233.98,10
1207,2024-07-27,C0407,P005,East,3,248.76,20
1208,2024-10-09,C0421,P023,West,5,429.76,10
1209,2024-06-25,C0105,P037,East,4,342.26,5
1210,2025-12-07,C0014,P010,North,5,125.78,15
1211,2025-10-09,C0206,P002,South,1,107.76,20
1212,2025-02-27,C0144,P032,North,1,325.9,5
1213,2025-06-27,C0221,P032,East,1,56.62,15
1214,2024-04-02,C0013,P043,North,5,489.64,5
1215,2024-05-29,C0297,P034,West,4,226.67,10
1216,2024-04-14,C0142,P011,North,1,200.13,20
1217,2025-02-09,C0231,P046,North,4,456.33,15
1218,2025-08-15,C0108,P027,East,3,230.2,10
1219,2024-09-23,C0369,P037,East,1,346.81,0
1220,2025-10-20,C0008,P022,East,3,429.6,0
1221,2025-01-28,C0352,P043,East,2,290.06,0
1222,2024-12-12,C0067,P010,South,2,389.11,10
1223,2024-11-20,C0459,P034,West,4,247.15,5
1224,2024-11-21,C0397,P042,South,3,270.0,5
1225,2025-04-15,C0476,P037,South,4,134.94,5
1226,2026-03-12,C0139,P018,East,5,476.13,5
1227,2024-05-15,C0038,P039,West,2,94.69,0
1228,2026-01-21,C0259,P017,North,3,488.83,0
1229,2025-08-29,C0489,P047,East,5,123.62,0
1230,2024-08-05,C0021,P025,East,3,350.34,0
1231,2024-04-10,C0051,P020,South,4,195.28,5
1232,2025-06-11,C0136,P015,West,3,189.74,5
1233,2025-08-10,C0366,P034,East,5,78.17,15
1234,2026-02-19,C0361,P046,East,5,124.93,10
1235,2025-07-02,C0222,P043,West,2,241.31,5
1236,2024-12-17,C0227,P002,West,5,115.89,5
1237,2025-07-18,C0280,P025,South,5,347.8,15
1238,2025-03-02,C0089,P040,West,2,439.98,0
1239,2025-07-19,C0485,P030,North,3,288.43,10
1240,2024-06-29,C0454,P034,South,1,313.26,10
1241,2024-12-06,C0356,P042,North,2,121.36,5
1242,2024-04-05,C0076,P006,East,3,200.96,20
1243,2024-04-24,C0271,P022,South,1,235.8,5
1244,2025-07-31,C0326,P043,South,3,102.37,15
